,movie_runtime,log_revenues,Revenue_with_inflation,Interval
2724,86.0,16.90336530558421,21929982.13122699,60-120
2725,83.0,15.176836347506311,3901362.2598466254,60-120
2726,108.0,16.350555938752215,12617003.404601226,60-120
2727,95.0,10.180302646979499,26378.44944785276,60-120
2728,99.0,16.885661447792216,21545153.374233127,60-120
2729,94.0,13.422069910862374,674731.3636503067,60-120
2730,101.0,16.350802802885354,12620118.47469325,60-120
2731,124.0,17.62887928186888,45302794.707331285,120-180
2732,83.0,19.546840509718113,308379125.1304601,60-120
2733,126.0,20.338328717415024,680493424.6047239,120-180
2734,93.0,16.75346050306259,18877107.51070552,60-120
2735,85.0,20.08588643879544,528676059.7317484,60-120
2736,112.0,19.12117823577545,201475478.22174844,60-120
2737,120.0,17.532433439530944,41137613.839846626,60-120
2738,99.0,14.634465519590005,2268128.3174539874,60-120
2739,95.0,17.02586800145805,24787944.93088957,60-120
2740,108.0,19.253084767007778,229883856.36220858,60-120
2741,94.0,17.113125386112745,27048047.678711653,60-120
2742,87.0,15.787049159124106,7181717.791411042,60-120
2743,110.0,14.453146089372396,1892002.006993865,60-120
2744,98.0,17.356807080953182,34511635.32542945,60-120
2745,117.0,14.479526236418838,1942577.4591104293,60-120
2746,95.0,16.95603439986305,23115972.80273006,60-120
2747,113.0,16.172126338680723,10555169.930705521,60-120
2748,116.0,15.25678584146564,4226081.834355828,60-120
2749,132.0,19.610071001978916,328507754.69208586,120-180
2750,105.0,17.63146310216452,45420000.34168711,60-120
2751,93.0,12.18924365190954,196662.36457055213,60-120
2752,121.0,10.901801247544167,54274.0367791411,120-180
2753,103.0,15.057843619892926,3463685.0370552144,60-120
2754,100.0,12.106544537992349,181052.90095092024,60-120
2755,102.0,15.188322671983645,3946432.925276073,60-120
2756,114.0,13.138732594793721,508251.9635276073,60-120
2757,114.0,19.643434832692098,339652920.6936503,60-120
2758,139.0,15.433010024101284,5040470.677607361,120-180
2759,119.0,16.76915338026843,19175680.246165644,60-120
2760,115.0,19.16012919381538,209477981.97153372,60-120
